Model ID,Name,Type,Provider,Capability,LoRA,Negative Prompt,Reference Images,@element,Duration,Audio,Tier,Notes
fal-ai/flux/dev,Flux Dev,image,fal,text-to-image,Y,Y,Y (IP-Adapter),Y,N/A,N,quality,Primary model with LoRA support
fal-ai/flux/schnell,Flux Schnell,image,fal,text-to-image,Y,Y,Y,Y,N/A,N,fast,Ultra-fast ~2s
fal-ai/flux-pro,Flux Pro,image,fal,text-to-image,Y,Y,Y,Y,N/A,N,pro,Commercial quality
fal-ai/flux-pro/v1.1-ultra,Flux 1.1 Pro Ultra,image,fal,text-to-image,Y,Y,Y,Y,N/A,N,pro,4MP native
fal-ai/flux-2-max,Flux 2 Max,image,fal,text-to-image,N,N,N,N,N/A,N,pro,Simplified params
fal-ai/flux-2-flex,Flux 2 Flex,image,fal,text-to-image,Y,Y,Y,Y,N/A,N,quality,Flexible aspect ratios
fal-ai/recraft-v3,Recraft V3,image,fal,text-to-image,N,Y,N,N,N/A,N,quality,Vector art and logos
fal-ai/ideogram/v2,Ideogram V2,image,fal,text-to-image,N,Y,N,N,N/A,N,quality,Best text rendering
fal-ai/stable-diffusion-v35-large,SD 3.5 Large,image,fal,text-to-image,Y,Y,Y,Y,N/A,N,standard,Stability AI
fal-ai/imagen3,Imagen 3 (Fal),image,fal,text-to-image,N,N,N,N,N/A,N,quality,Google via Fal
fal-ai/imagen4/preview,Imagen 4 Preview,image,fal,text-to-image,N,N,N,N,N/A,N,pro,Early access
fal-ai/flux-kontext/dev,Flux Kontext,image,fal,image-editing,N,N,Y (required),Y,N/A,N,quality,Character consistency
fal-ai/flux-kontext/pro,Flux Kontext Pro,image,fal,image-editing,N,N,Y (required),Y,N/A,N,pro,Falls back to dev
fal-ai/nano-banana-pro/edit,Nano Banana Edit,image,fal,image-editing,N,N,Y (required),N,N/A,N,fast,Quick AI editing
fal-ai/gpt-image-1.5/edit,GPT Image 1.5 Edit,image,fal,image-editing,N,N,Y (required),N,N/A,N,quality,OpenAI-style
fal-ai/ideogram/character,Ideogram Character,image,fal,image-editing,N,Y,Y (required),Y,N/A,N,quality,Character sheets
fal-ai/ip-adapter-face-id,IP-Adapter Face ID,image,fal,image-editing,N,Y,Y (face),N,N/A,N,quality,Face preservation
fal-ai/kling-image/o1,Kling O1 Image,image,fal,image-editing,N,N,Y (1-10),Y,N/A,N,pro,Multi-ref blending
fal-ai/flux-2-flex/edit,Flux 2 Flex Edit,image,fal,image-editing,N,N,Y (required),N,N/A,N,quality,Style transfer
fal-ai/flux/dev/image-to-image,Flux Dev I2I,image,fal,image-editing,Y,Y,Y (required),Y,N/A,N,quality,Strength control
fal-ai/flux/dev/inpainting,Flux Inpainting,image,fal,image-editing,N,Y,Y + Mask,N,N/A,N,quality,Regional editing
fal-ai/qwen-image/edit-plus,Qwen Edit Plus,image,fal,image-editing,N,N,Y (required),N,N/A,N,quality,Object removal
fal-ai/creative-upscaler,Creative Upscaler,image,fal,image-editing,N,N,Y (required),N,N/A,N,quality,4x with AI enhancement
fal-ai/clarity-upscaler,Clarity Upscaler,image,fal,image-editing,N,N,Y (required),N,N/A,N,quality,Faithful 2x/4x
fal-ai/wan-t2v,Wan 2.2 T2V,video,fal,text-to-video,N,Y,N,N,5s/10s,N,quality,Cinematic motion
fal-ai/wan-25-preview/text-to-video,Wan 2.5 T2V,video,fal,text-to-video,N,Y,N,N,5s/10s,N,pro,Highest quality
fal-ai/wan-2.1-t2v-1.3b,Wan 2.1 T2V (1.3B),video,fal,text-to-video,N,Y,N,N,5s,N,fast,Lightweight
fal-ai/ltx-video,LTX-Video,video,fal,text-to-video,N,Y,N,N,5s/10s,N,fast,Ultra-fast ~10s
fal-ai/kling-video/v2.6/pro/text-to-video,Kling 2.6 Pro,video,fal,text-to-video,N,Y,N,N,5s/10s,N,pro,Professional realism
fal-ai/vidu/v1/text-to-video,Vidu v1,video,fal,text-to-video,N,N,N,N,4s,N,fast,Asian-style
fal-ai/hunyuan-video,Hunyuan Video,video,fal,text-to-video,N,Y,N,N,5s/9s,N,quality,Complex motion
fal-ai/minimax-video,MiniMax Video,video,fal,text-to-video,N,N,N,N,6s,N,quality,Expressive/anime
fal-ai/luma-dream-machine,Luma Dream Machine,video,fal,text-to-video,N,Y,N,N,5s/9s,N,quality,Dreamlike motion
fal-ai/kling-video/v1.5/pro,Kling 1.5 Pro,video,fal,text-to-video,N,Y,N,N,5s/10s,N,quality,High quality
fal-ai/veo3.1,Veo 3.1,video,fal,text-to-video,N,Y,N,N,5s,N,pro,Google via Fal $0.40/s
veo-2,Veo 2,video,google,text-to-video,N,Y,N,N,5s,N,quality,Direct Google API
sora-2-pro,Sora 2.0 Pro,video,openai,text-to-video,N,N,N,N,5s/10s,N,pro,Premium $0.50/s
